59897,Women,Apparel,Dress,Dresses,Yellow,Fall,2012,Casual,Femella Women Yellow Dress,http://assets.myntassets.com/v1/images/style/properties/Femella-Women-Yellow-Dress_3d227e50c7848fd7a20a306189f9039b_images.jpg
59891,Women,Apparel,Topwear,Shirts,Multi,Fall,2012,Casual,Femella Women Multi Coloured Shirt,http://assets.myntassets.com/v1/images/style/properties/Femella-Women-Multi-Coloured-Shirt_c804bd88e513c98990f27821fdf2c83b_images.jpg
59890,Women,Apparel,Topwear,Tunics,Multi,Fall,2012,Casual,Femella Women Multi Coloured Tunic,http://assets.myntassets.com/v1/images/style/properties/Femella-Women-Multi-Coloured-Tunic_3931ba11eb442f3e523f48f548678645_images.jpg
59863,Women,Personal Care,Skin Care,Eye Cream,Black,Spring,2017,Casual,Olay Women Total Effects Anti-Ageing Eye Cream,http://assets.myntassets.com/v1/images/style/properties/Olay-Women-Total-Effects-Anti-Ageing-Eye-Cream_f01717745be1cbb1a11b371c4c0805f5_images.jpg
59839,Women,Personal Care,Fragrance,Fragrance Gift Set,Maroon,Spring,2017,Casual,Valley of Flowers Women Fragrance Gift Set,http://assets.myntassets.com/v1/images/style/properties/Valley-of-Flowers-Women-Fragrance-Gift-Set_a53548f7e9975698f4ae232580132569_images.jpg
59698,Women,Apparel,Innerwear,Camisoles,Cream,Summer,2014,Casual,Avirate Cream Fitted Camisoles,http://assets.myntassets.com/v1/images/style/properties/Avirate-Cream-Fitted-Camisoles_a9ba3c130ce97044dbbe43b9ac0a6c07_images.jpg
59696,Women,Apparel,Innerwear,Briefs,Cream,Summer,2014,Casual,Avirate Cream Brief,http://assets.myntassets.com/v1/images/style/properties/Avirate-Cream-Brief_ac380d128249b31084a5151d02e1d6e4_images.jpg
59691,Women,Apparel,Innerwear,Bra,Purple,Summer,2014,Casual,Avirate Purple Bra,http://assets.myntassets.com/v1/images/style/properties/Avirate-Purple-Bra_cfa2a48d35bcc8742efb8cfe895c8eaa_images.jpg
59665,Women,Apparel,Saree,Sarees,Yellow,Fall,2012,Ethnic,FNF Pink & Yellow Printed Evening Wear Sari,http://assets.myntassets.com/v1/images/style/properties/FNF-Pink---Yellow-Sari_04266265ca588ed869377b70fc7a3a38_images.jpg
59662,Women,Apparel,Saree,Sarees,Multi,Fall,2012,Ethnic,FNF Multi Colour Evening Wear Sari,http://assets.myntassets.com/v1/images/style/properties/FNF-Multicoloured-Sari_4ce68e5b4a7fb446e1e155f1b8c8a0a1_images.jpg
